distance,damage
0,100
1,100
2,100
3,100
4,100
5,100
6,100
7,100
8,100
9,100
10,100
11,100
12,100
13,100
14,100
15,100
16,100
17,100
18,100
19,100
20,100
21,100
22,100
23,100
24,100
25,100
26,100
27,100
28,100
29,100
30,100
31,100
32,100
33,100
34,100
35,100
36,100
37,100
38,100
39,100
40,100
41,100
42,100
43,100
44,100
45,100
46,100
47,100
48,100
49,100
50,100
51,100
52,100
53,100
54,100
55,100
56,100
57,100
58,100
59,100
60,100
61,100
62,100
63,100
64,100
65,100
66,100
67,100
68,100
69,100
70,100
71,100
72,100
73,100
74,100
75,100
76,100
77,100
78,100
79,100
80,100
81,100
82,100
83,100
84,100
85,100
86,100
87,100
88,100
89,100
90,100
91,100
92,100
93,100
94,100
95,100
96,100
97,100
98,100
99,100
100,100
101,100
102,100
103,100
104,100
105,100
106,100
107,100
108,100
109,100
110,100
111,100
112,100
113,100
114,100
115,100
116,100
117,100
118,100
119,100
120,100
121,100
122,100
123,100
124,100
125,100
126,100
127,100
128,100
129,100
130,100
131,100
132,100
133,100
134,100
135,100
136,100
137,100
138,100
139,100
140,100
141,100
142,100
143,100
144,100
145,100
146,100
147,100
148,100
149,100
150,100
151,100
152,100
153,100
154,100
155,100
156,100
157,100
158,100
159,100
160,100
161,100
162,100
163,100
164,100
165,100
166,100
167,100
168,100
169,100
170,100
171,100
172,100
173,100
174,100
175,100
176,100
177,100
178,100
179,100
180,100
181,100
182,100
183,100
184,100
185,100
186,100
187,100
188,100
189,100
190,100
191,100
192,100
193,100
194,100
195,100
196,100
197,100
198,100
199,100
200,100
201,100
202,100
203,100
204,100
205,100
206,100
207,100
208,100
209,100
210,100
211,100
212,100
213,100
214,100
215,100
216,100
217,100
218,100
219,100
220,100
221,100
222,100
223,100
224,100
225,100
226,100
227,100
228,100
229,100
230,100
231,100
232,100
233,100
234,100
235,100
236,100
237,100
238,100
239,100
240,100
241,100
242,100
243,100
244,100
245,100
246,100
247,100
248,100
249,100
250,100
251,100
252,100
253,100
254,100
255,100
256,100
257,100
258,100
259,100
260,100
261,100
262,100
263,100
264,100
265,100
266,100
267,100
268,100
269,100
270,100
271,100
272,100
273,100
274,100
275,100
276,100
277,100
278,100
279,100
280,100
281,100
282,100
283,100
284,100
285,100
286,100
287,100
288,100
289,100
290,100
291,100
292,100
293,100
294,100
295,100
296,100
297,100
298,100
299,100
300,100
301,100
302,100
303,100
304,100
305,100
306,100
307,100
308,100
309,100
310,100
311,100
312,100
313,100
314,100
315,100
316,100
317,100
318,100
319,100
320,100
321,100
322,100
323,100
324,100
325,100
326,100
327,100
328,100
329,100
330,100
331,100
332,100
333,100
334,100
335,100
336,100
337,100
338,100
339,100
340,100
341,100
342,100
343,100
344,100
345,100
346,100
347,100
348,100
349,100
350,100
351,100
352,100
353,100
354,100
355,100
356,100
357,100
358,100
359,100
360,100
361,100
362,100
363,100
364,100
365,100
366,100
367,100
368,100
369,100
370,100
371,100
372,100
373,100
374,100
375,100
376,100
377,100
378,100
379,100
380,100
381,100
382,100
383,100
384,100
385,100
386,100
387,100
388,100
389,100
390,100
391,100
392,100
393,100
394,100
395,100
396,100
397,100
398,100
399,100
400,100
401,100
402,100
403,100
404,100
405,100
406,100
407,100
408,100
409,100
410,100
411,100
412,100
413,100
414,100
415,100
416,100
417,100
418,100
419,100
420,100
421,100
422,100
423,100
424,100
425,100
426,100
427,100
428,100
429,100
430,100
431,100
432,100
433,100
434,100
435,100
436,100
437,100
438,100
439,100
440,100
441,100
442,100
443,100
444,100
445,100
446,100
447,100
448,100
449,100
450,100
451,100
452,100
453,100
454,100
455,100
456,100
457,100
458,100
459,100
460,100
461,100
462,100
463,100
464,100
465,100
466,100
467,100
468,100
469,100
470,100
471,100
472,100
473,100
474,100
475,100
476,100
477,100
478,100
479,100
480,100
481,100
482,100
483,100
484,100
485,100
486,100
487,100
488,100
489,100
490,100
491,100
492,100
493,100
494,100
495,100
496,100
497,100
498,100
499,100
500,100
501,100
502,100
503,100
504,100
505,100
506,100
507,100
508,100
509,100
510,100
511,100
512,100
513,100
514,100
515,100
516,100
517,100
518,100
519,100
520,100
521,100
522,100
523,100
524,100
525,100
526,100
527,100
528,100
529,100
530,100
531,100
532,100
533,100
534,100
535,100
536,100
537,100
538,100
539,100
540,100
541,100
542,98.504455566406
543,97.031272888184
544,95.580131530762
545,94.150680541992
546,92.742614746094
547,91.355606079102
548,89.98934173584
549,88.643508911133
550,87.317810058594
551,86.011932373047
552,84.7255859375
553,83.458473205566
554,82.210311889648
555,80.980819702148
556,79.769714355469
557,78.576721191406
558,77.401573181152
559,76.243995666504
560,75.103729248047
561,73.980522155762
562,72.87410736084
563,71.784240722656
564,70.710678100586
565,69.653167724609
566,68.611473083496
567,67.585357666016
568,66.574584960938
569,65.57893371582
570,64.598167419434
571,63.632076263428
572,62.68042755127
573,61.743015289307
574,60.819618225098
575,59.910034179688
576,59.014053344727
577,58.131469726563
578,57.262088775635
579,56.405708312988
580,55.562133789063
581,54.731178283691
582,53.912647247314
583,53.106357574463
584,52.312129974365
585,51.529777526855
586,50.759124755859
587,50
588,49.252227783203
589,48.515636444092
590,47.790065765381
591,47.075340270996
592,46.371307373047
593,45.677803039551
594,44.99467086792
595,44.321754455566
596,43.658905029297
597,43.005966186523
598,42.36279296875
599,41.729236602783
600,41.105155944824
601,40.490409851074
602,39.884857177734
603,39.288360595703
604,38.700786590576
605,38.121997833252
606,37.551864624023
607,36.990261077881
608,36.43705368042
609,35.892120361328
610,35.355339050293
611,34.826583862305
612,34.305736541748
613,33.792678833008
614,33.287292480469
615,32.78946685791
616,32.299083709717
617,31.816038131714
618,31.340213775635
619,30.871507644653
620,30.409809112549
621,29.955017089844
622,29.507026672363
623,29.065734863281
624,28.631044387817
625,28.202854156494
626,27.781066894531
627,27.365589141846
628,26.956323623657
629,26.553178787231
630,26.156064987183
631,25.764888763428
632,25.37956237793
633,25
634,24.626113891602
635,24.257818222046
636,23.89503288269
637,23.537670135498
638,23.185653686523
639,22.838901519775
640,22.49733543396
641,22.160877227783
642,21.829452514648
643,21.502983093262
644,21.181396484375
645,20.864618301392
646,20.552577972412
647,20.245204925537
648,19.942428588867
649,19.644180297852
650,19.350393295288
651,19.060998916626
652,18.775932312012
653,18.49513053894
654,18.21852684021
655,17.946060180664
656,17.677669525146
657,17.413291931152
658,17.152868270874
659,16.896339416504
660,16.643646240234
661,16.394733428955
662,16.149541854858
663,15.908019065857
664,15.670106887817
665,15.435753822327
666,15.204904556274
667,14.977508544922
668,14.753513336182
669,14.532867431641
670,14.315522193909
671,14.101427078247
