distance,damage
0,100
10,100
20,100
30,100
40,100
50,100
60,100
70,100
80,100
90,100
100,100
110,100
120,100
130,100
140,100
150,100
160,100
170,100
180,100
190,100
200,100
210,100
220,100
230,100
240,100
250,100
260,100
270,100
280,100
290,100
300,100
310,100
320,100
330,100
340,100
350,100
360,100
370,100
380,100
390,100
400,100
410,100
420,100
430,100
440,100
450,100
460,100
470,100
480,100
490,100
500,100
510,100
520,100
530,100
540,98.370277404785
550,94.13395690918
560,89.989883422852
570,85.938171386719
580,81.978935241699
590,78.112266540527
600,74.338279724121
610,70.65705871582
620,67.068672180176
630,63.573223114014
640,60.170764923096
650,56.861381530762
660,53.645126342773
670,50.522068023682
680,47.492263793945
690,44.555767059326
700,41.712631225586
710,38.962902069092
720,36.306625366211
730,33.743843078613
740,31.274602890015
750,28.898937225342
760,26.616886138916
770,24.428483963013
780,22.333763122559
790,20.33275604248
800,18.425493240356
810,16.612001419067
820,14.892309188843
830,13.266442298889
840,11.734424591064
850,10.296279907227
860,8.9520301818848
870,7.7016973495483
880,6.5453014373779
890,5.4828624725342
900,4.5143985748291
910,3.6399276256561
920,2.859466791153
930,2.173032283783
940,1.5806397199631
950,1.0823041200638
960,0.67803972959518
970,0.36786037683487
980,0.15177924931049
990,0.02980899065733
1000,0
1010,0
