time,amplitude
45,58.65
46,58.62
47,58.59
48,58.56
49,58.53
50,58.5
51,58.47
52,58.44
53,58.41
54,58.38
55,58.35
56,58.32
57,58.29
58,58.26
59,58.23
60,58.2
61,58.17
62,58.14
63,58.11
64,58.08
65,58.05
66,58.02
67,57.99
68,57.96
69,57.93
70,57.9
71,57.87
72,57.84
73,57.81
74,57.78
75,57.75
76,57.72
77,57.69
78,57.66
79,57.63
80,57.6
81,57.57
82,57.54
83,57.51
84,57.48
85,57.45
86,57.42
87,57.39
88,57.36
89,57.33
90,57.3
91,57.27
92,57.24
93,57.21
94,57.18
95,57.15
96,57.12
97,57.09
98,57.06
99,57.03
100,57
101,56.97
102,56.94
103,56.91
104,56.88
105,56.85
106,56.82
107,56.79
108,56.76
109,56.73
110,56.7
111,56.67
112,56.64
113,56.61
114,56.58
115,56.55
116,56.52
117,56.49
118,56.46
119,56.43
120,56.4
121,56.37
122,56.34
123,56.31
124,56.28
125,56.25
126,56.22
127,56.19
128,56.16
129,56.13
130,56.1
131,56.07
132,56.04
133,56.01
134,55.98
135,55.95
136,55.92
137,55.89
138,55.86
139,55.83
140,55.8
141,55.77
142,55.74
143,55.71
144,55.68
145,55.65
146,55.62
147,55.59
148,55.56
149,55.53
150,55.5
151,55.47
152,55.44
153,55.41
154,55.38
155,55.35
156,55.32
157,55.29
158,55.26
159,55.23
160,55.2
161,55.17
162,55.14
163,55.11
164,55.08
165,55.05
166,55.02
167,54.99
168,54.96
169,54.93
170,54.9
171,54.87
172,54.84
173,54.81
174,54.78
175,54.75
176,54.72
177,54.69
178,54.66
179,54.63
180,54.6
181,54.57
182,54.54
183,54.51
184,54.48
185,54.45
186,54.42
187,54.39
188,54.36
189,54.33
190,54.3
191,54.27
192,54.24
193,54.21
194,54.18
195,54.15
196,54.12
197,54.09
198,54.06
199,54.03
200,54
201,53.97
202,53.94
203,53.91
204,53.88
205,53.85
206,53.82
207,53.79
208,53.76
209,53.73
210,53.7
211,53.67
212,53.64
213,53.61
214,53.58
215,53.55
216,53.52
217,53.49
218,53.46
219,53.43
220,53.4
221,53.37
222,53.34
223,53.31
224,53.28
225,53.25
226,53.22
227,53.19
228,53.16
229,53.13
230,53.1
231,53.07
232,53.04
233,53.01
234,52.98
235,52.95
236,52.92
237,52.89
238,52.86
239,52.83
240,52.8
241,52.77
242,52.74
243,52.71
244,52.68
245,52.65
246,52.62
247,52.59
248,52.56
249,52.53
250,52.5
251,52.47
252,52.44
253,52.41
254,52.38
255,52.35
256,52.32
257,52.29
258,52.26
259,52.23
260,52.2
261,52.17
262,52.14
263,52.11
264,52.08
265,52.05
266,52.02
267,51.99
268,51.96
269,51.93
270,51.9
271,51.87
272,51.84
273,51.81
274,51.78
275,51.75
276,51.72
277,51.69
278,51.66
279,51.63
280,51.6
281,51.57
282,51.54
283,51.51
284,51.48
285,51.45
286,51.42
287,51.39
288,51.36
289,51.33
290,51.3
291,51.27
292,51.24
293,51.21
294,51.18
295,51.15
296,51.12
297,51.09
298,51.06
299,51.03
300,51
301,50.97
302,50.94
303,50.91
304,50.88
305,50.85
306,50.82
307,50.79
308,50.76
309,50.73
310,50.7
311,50.67
312,50.64
313,50.61
314,50.58
315,50.55
316,50.52
317,50.49
318,50.46
319,50.43
320,50.4
321,50.37
322,50.34
323,50.31
324,50.28
325,50.25
326,50.22
327,50.19
328,50.16
329,50.13
330,50.1
331,50.07
332,50.04
333,50.01
334,49.98
335,49.95
336,49.92
337,49.89
338,49.86
339,49.83
340,49.8
341,49.77
342,49.74
343,49.71
344,49.68
345,49.65
346,49.62
347,49.59
348,49.56
349,49.53
350,49.5
351,49.47
352,49.44
353,49.41
354,49.38
355,49.35
356,49.32
357,49.29
358,49.26
359,49.23
360,49.2
361,49.17
362,49.14
363,49.11
364,49.08
365,49.05
366,49.02
367,48.99
368,48.96
369,48.93
370,48.9
371,48.87
372,48.84
373,48.81
374,48.78
375,48.75
376,48.72
377,48.69
378,48.66
379,48.63
380,48.6
381,48.57
382,48.54
383,48.51
384,48.48
385,48.45
386,48.42
387,48.39
388,48.36
389,48.33
390,48.3
391,48.27
392,48.24
393,48.21
394,48.18
395,48.15
396,48.12
397,48.09
398,48.06
399,48.03
400,48
401,48
402,48
403,48
404,48
405,48
406,48
407,48
408,48
409,48
410,48
411,48
412,48
413,48
414,48
415,48
416,48
417,48
418,48
419,48
420,48
421,48
422,48
423,48
424,48
425,48
426,48
427,48
428,48
429,48
430,48
431,48
432,48
433,48
434,48
435,48
436,48
437,48
438,48
439,48
440,48
441,48
442,48
443,48
444,48
445,48
446,48
447,48
448,48
449,48
450,48
451,48
452,48
453,48
454,48
455,48
456,48
457,48
458,48
459,48
460,48
461,48
462,48
463,48
464,48
465,48
466,48
467,48
468,48
469,48
470,48
471,48
472,48
473,48
474,48
475,48
476,48
477,48
478,48
479,48
480,48
481,48
482,48
483,48
484,48
485,48
486,48
487,48
488,48
489,48
490,48
491,48
492,48
493,48
494,48
495,48
496,48
497,48
498,48
499,48
500,48
501,48
502,48
503,48
504,48
505,48
506,48
507,48
508,48
509,48
510,48
511,48
512,48
513,48
514,48
515,48
516,48
517,48
518,48
519,48
520,48
521,48
522,48
523,48
524,48
525,48
526,48
527,48
528,48
529,48
530,48
531,48
532,48
533,48
534,48
535,48
536,48
537,48
538,48
539,48
540,48
541,48
542,48
543,48
544,48
545,48
546,48
547,48
548,48
549,48
550,48
551,48
552,48
553,48
554,48
555,48
556,48
557,48
558,48
559,48
560,48
561,48
562,48
563,48
564,48
565,48
566,48
567,48
568,48
569,48
570,48
571,48
572,48
573,48
574,48
575,48
576,48
577,48
578,48
579,48
580,48
581,48
582,48
583,48
584,48
585,48
586,48
587,48
588,48
589,48
590,48
591,48
592,48
593,48
594,48
595,48
596,48
597,48
598,48
599,48
600,48
