distance,damage
0,125
1,125
2,125
3,125
4,125
5,125
6,125
7,125
8,125
9,125
10,125
11,125
12,125
13,125
14,125
15,125
16,125
17,125
18,125
19,125
20,125
21,125
22,125
23,125
24,125
25,125
26,125
27,125
28,125
29,125
30,125
31,125
32,125
33,125
34,125
35,125
36,125
37,125
38,125
39,125
40,125
41,125
42,125
43,125
44,125
45,125
46,125
47,125
48,125
49,125
50,125
51,125
52,125
53,125
54,125
55,125
56,125
57,125
58,125
59,125
60,125
61,125
62,125
63,125
64,125
65,125
66,125
67,125
68,125
69,125
70,125
71,125
72,125
73,125
74,125
75,125
76,125
77,125
78,125
79,125
80,125
81,125
82,125
83,125
84,125
85,125
86,125
87,125
88,125
89,125
90,125
91,125
92,125
93,125
94,125
95,125
96,125
97,125
98,125
99,125
100,125
101,125
102,125
103,125
104,125
105,125
106,125
107,125
108,125
109,125
110,125
111,125
112,125
113,125
114,125
115,125
116,125
117,125
118,125
119,125
120,125
121,125
122,125
123,125
124,125
125,125
126,125
127,125
128,125
129,125
130,125
131,125
132,125
133,125
134,125
135,125
136,125
137,125
138,125
139,125
140,125
141,125
142,125
143,125
144,125
145,125
146,125
147,125
148,125
149,125
150,125
151,125
152,125
153,125
154,125
155,125
156,125
157,125
158,125
159,125
160,125
161,125
162,125
163,125
164,125
165,125
166,125
167,125
168,125
169,125
170,125
171,125
172,125
173,125
174,125
175,125
176,125
177,125
178,125
179,125
180,125
181,125
182,125
183,125
184,125
185,125
186,125
187,125
188,125
189,125
190,125
191,125
192,125
193,125
194,125
195,125
196,125
197,125
198,125
199,125
200,125
201,125
202,125
203,125
204,125
205,125
206,125
207,125
208,125
209,125
210,125
211,125
212,125
213,125
214,125
215,125
216,125
217,125
218,125
219,125
220,125
221,125
222,125
223,125
224,125
225,125
226,125
227,125
228,125
229,125
230,125
231,125
232,125
233,125
234,125
235,125
236,125
237,125
238,125
239,125
240,125
241,125
242,125
243,125
244,125
245,125
246,125
247,125
248,125
249,125
250,125
251,125
252,125
253,125
254,125
255,125
256,125
257,125
258,125
259,125
260,125
261,125
262,125
263,125
264,125
265,125
266,125
267,125
268,125
269,125
270,125
271,125
272,125
273,125
274,125
275,125
276,125
277,125
278,125
279,125
280,125
281,125
282,125
283,125
284,125
285,125
286,125
287,125
288,125
289,125
290,125
291,125
292,125
293,125
294,125
295,125
296,125
297,125
298,125
299,125
300,125
301,125
302,125
303,125
304,125
305,125
306,125
307,125
308,125
309,125
310,125
311,125
312,125
313,125
314,125
315,125
316,125
317,125
318,125
319,125
320,125
321,125
322,125
323,125
324,125
325,125
326,125
327,125
328,125
329,125
330,125
331,125
332,125
333,125
334,125
335,125
336,125
337,125
338,125
339,125
340,125
341,125
342,125
343,125
344,125
345,125
346,125
347,125
348,125
349,125
350,125
351,125
352,125
353,125
354,125
355,125
356,125
357,125
358,125
359,125
360,125
361,125
362,125
363,125
364,125
365,125
366,125
367,125
368,125
369,125
370,125
371,125
372,125
373,125
374,125
375,125
376,125
377,125
378,125
379,125
380,125
381,125
382,125
383,125
384,125
385,125
386,125
387,125
388,125
389,125
390,125
391,125
392,125
393,125
394,125
395,125
396,125
397,125
398,125
399,125
400,125
401,125
402,125
403,125
404,125
405,125
406,125
407,125
408,125
409,125
410,125
411,125
412,125
413,125
414,125
415,125
416,125
417,125
418,125
419,125
420,125
421,125
422,125
423,125
424,125
425,125
426,125
427,125
428,125
429,125
430,125
431,125
432,125
433,125
434,125
435,125
436,125
437,125
438,125
439,125
440,125
441,125
442,125
443,125
444,125
445,125
446,125
447,125
448,125
449,125
450,125
451,125
452,125
453,125
454,125
455,125
456,125
457,125
458,125
459,125
460,125
461,125
462,125
463,125
464,125
465,125
466,125
467,125
468,125
469,125
470,125
471,125
472,125
473,125
474,125
475,125
476,125
477,125
478,125
479,125
480,125
481,125
482,125
483,125
484,125
485,125
486,125
487,125
488,125
489,125
490,125
491,125
492,124.98999786377
493,124.95999908447
494,124.91000366211
495,124.83999633789
496,124.75
497,124.63999938965
498,124.51000213623
