distance,damage
0,125
1,125
2,125
3,125
4,125
5,125
6,125
7,125
8,125
9,125
10,125
11,125
12,125
13,125
14,125
15,125
16,125
17,125
18,125
19,125
20,125
21,125
22,125
23,125
24,125
25,125
26,125
27,125
28,125
29,125
30,125
31,125
32,125
33,125
34,125
35,125
36,125
37,125
38,125
39,125
40,125
41,125
42,125
43,125
44,125
45,125
46,125
47,125
48,125
49,125
50,125
51,125
52,125
53,125
54,125
55,125
56,125
57,125
58,125
59,125
60,125
61,125
62,125
63,125
64,125
65,125
66,125
67,125
68,125
69,125
70,125
71,125
72,125
73,125
74,125
75,125
76,125
77,125
78,125
79,125
80,125
81,125
82,125
83,125
84,125
85,125
86,125
87,125
88,125
89,125
90,125
91,125
92,125
93,125
94,125
95,125
96,125
97,125
98,125
99,125
100,125
101,125
102,125
103,125
104,125
105,125
106,125
107,125
108,125
109,125
110,125
111,125
112,125
113,125
114,125
115,125
116,125
117,125
118,125
119,125
120,125
121,125
122,125
123,125
124,125
125,125
126,125
127,125
128,125
129,125
130,125
131,125
132,125
133,125
134,125
135,125
136,125
137,125
138,125
139,125
140,125
141,125
142,125
143,125
144,125
145,125
146,125
147,125
148,125
149,125
150,125
151,125
152,125
153,125
154,125
155,125
156,125
157,125
158,125
159,125
160,125
161,125
162,125
163,125
164,125
165,125
166,125
167,125
168,125
169,125
170,125
171,125
172,125
173,125
174,125
175,125
176,125
177,125
178,125
179,125
180,125
181,125
182,125
183,125
184,125
185,125
186,125
187,125
188,125
189,125
190,125
191,125
192,125
193,125
194,125
195,125
196,125
197,125
198,125
199,125
200,125
201,125
202,125
203,125
204,125
205,125
206,125
207,125
208,125
209,125
210,125
211,125
212,125
213,125
214,125
215,125
216,125
217,125
218,125
219,125
220,125
221,125
222,125
223,125
224,125
225,125
226,125
227,125
228,125
229,125
230,125
231,125
232,125
233,125
234,125
235,125
236,125
237,125
238,125
239,125
240,125
241,125
242,125
243,125
244,125
245,125
246,125
247,125
248,125
249,125
250,125
251,125
252,125
253,125
254,125
255,125
256,125
257,125
258,125
259,125
260,125
261,125
262,125
263,125
264,125
265,125
266,125
267,125
268,125
269,125
270,125
271,125
272,125
273,125
274,125
275,125
276,125
277,125
278,125
279,125
280,125
281,125
282,125
283,125
284,125
285,125
286,125
287,125
288,125
289,125
290,125
291,125
292,125
293,125
294,125
295,125
296,125
297,125
298,125
299,125
300,125
301,46.728179931641
302,46.238815307617
303,45.749389648438
304,45.259887695313
305,44.770324707031
306,44.280700683594
307,43.791000366211
308,43.301239013672
309,42.811416625977
310,42.321533203125
311,41.831573486328
312,41.341567993164
313,40.851486206055
314,40.361343383789
315,39.871139526367
316,39.380889892578
317,38.890563964844
318,38.400192260742
319,37.909744262695
320,37.419250488281
321,36.928695678711
322,36.438079833984
323,35.947418212891
324,35.456695556641
325,34.965911865234
326,34.475082397461
327,33.984191894531
328,33.493240356445
329,33.002243041992
330,32.511199951172
331,32.020095825195
332,31.528930664063
333,31.037719726563
334,30.546463012695
335,30.055160522461
336,29.56379699707
337,29.072387695313
338,28.580917358398
339,28.089416503906
340,27.597854614258
341,27.106246948242
342,26.614593505859
343,26.122894287109
344,25.631134033203
345,25.139343261719
346,24.647491455078
347,24.155609130859
348,23.663681030273
349,23.171691894531
350,22.679672241211
351,22.187591552734
352,21.69548034668
353,21.203323364258
354,20.711120605469
355,20.218887329102
356,19.726593017578
357,19.234268188477
358,18.741897583008
359,18.249481201172
360,17.757034301758
361,17.264541625977
362,16.772003173828
363,16.279418945313
364,15.786804199219
365,15.294158935547
366,14.801452636719
367,14.308731079102
368,13.815948486328
369,13.323135375977
370,12.830291748047
371,12.33740234375
372,11.844482421875
373,11.351516723633
374,10.858520507813
375,10.365478515625
376,9.8724060058594
377,9.3793029785156
378,8.8861541748047
379,8.3929748535156
380,7.8997650146484
381,7.4065093994141
382,6.9132385253906
383,6.4199066162109
384,5.9265594482422
385,5.4331665039063
386,4.9397583007813
387,4.4463043212891
388,3.9528045654297
389,3.4592895507813
390,2.9657440185547
